match_id,date,home_team,away_team
MS001,2025-12-25,TeamA,TeamC
MS002,2025-12-18,TeamD,TeamB
MS003,2025-01-06,TeamD,TeamA
MS004,2025-04-07,TeamB,TeamA
MS005,2025-11-18,TeamC,TeamD
MS006,2025-02-09,TeamA,TeamD
MS007,2025-09-02,TeamD,TeamC
MS008,2025-11-28,TeamD,TeamB
MS009,2025-04-18,TeamA,TeamB
MS010,2025-05-17,TeamC,TeamD
MS011,2025-11-30,TeamA,TeamC
MS012,2025-03-22,TeamC,TeamA
MS013,2025-12-04,TeamB,TeamA
MS014,2025-05-18,TeamA,TeamC
MS015,2025-05-06,TeamC,TeamB
MS016,2025-05-24,TeamD,TeamC
MS017,2025-02-01,TeamA,TeamC
MS018,2025-10-26,TeamB,TeamA
MS019,2025-01-12,TeamB,TeamC
MS020,2025-09-18,TeamD,TeamC
MS021,2025-04-27,TeamB,TeamC
MS022,2025-12-12,TeamB,TeamA
MS023,2025-07-30,TeamA,TeamC
MS024,2025-07-20,TeamB,TeamA
MS025,2025-12-23,TeamD,TeamC
MS026,2025-10-23,TeamD,TeamC
MS027,2025-03-25,TeamB,TeamC
MS028,2025-04-18,TeamD,TeamC
MS029,2025-09-24,TeamC,TeamB
MS030,2025-10-04,TeamB,TeamA
