stat_id,match_id,player_id,goals,assists,fouls
PSMS001434,MS001,P031,5,1,2
PSMS001901,MS001,P010,2,3,5
PSMS001377,MS001,P020,0,0,5
PSMS001679,MS001,P004,5,1,2
PSMS001566,MS001,P025,2,2,5
PSMS001125,MS001,P035,1,3,3
PSMS0019,MS001,P026,2,2,0
PSMS001959,MS001,P049,1,2,1
PSMS001881,MS001,P011,3,2,5
PSMS001417,MS001,P003,2,0,3
PSMS001483,MS001,P048,3,2,5
PSMS001433,MS001,P007,1,2,4
PSMS00168,MS001,P023,3,2,3
PSMS001712,MS001,P002,0,1,5
PSMS001455,MS001,P042,1,0,3
PSMS001205,MS001,P041,2,2,4
PSMS00185,MS001,P008,1,1,4
PSMS001731,MS001,P050,5,1,4
PSMS002490,MS002,P048,1,2,1
PSMS002704,MS002,P038,2,2,1
PSMS00287,MS002,P027,2,1,3
PSMS002898,MS002,P025,4,1,0
PSMS002971,MS002,P002,4,1,0
PSMS002998,MS002,P030,1,2,5
PSMS002873,MS002,P011,0,3,4
PSMS002440,MS002,P039,2,1,0
PSMS002982,MS002,P024,1,0,0
PSMS002736,MS002,P034,3,3,5
PSMS002507,MS002,P008,1,1,1
PSMS002969,MS002,P018,2,3,3
PSMS002134,MS002,P028,1,1,2
PSMS002745,MS002,P044,1,3,1
PSMS002419,MS002,P010,0,2,2
PSMS002242,MS002,P040,3,1,2
PSMS002597,MS002,P044,5,3,0
PSMS003998,MS003,P045,3,1,5
PSMS003393,MS003,P046,3,2,0
PSMS00398,MS003,P036,0,0,2
PSMS003954,MS003,P016,3,2,4
PSMS003962,MS003,P043,4,0,0
PSMS003260,MS003,P033,4,3,2
PSMS003405,MS003,P043,2,1,4
PSMS00343,MS003,P038,1,2,1
PSMS003516,MS003,P032,2,3,1
PSMS00392,MS003,P021,5,3,1
PSMS003267,MS003,P008,2,0,1
PSMS003512,MS003,P018,5,2,3
PSMS003290,MS003,P017,4,2,4
PSMS003321,MS003,P028,1,2,5
PSMS003504,MS003,P049,1,3,0
PSMS004188,MS004,P003,3,2,1
PSMS004723,MS004,P030,3,0,3
PSMS00442,MS004,P029,2,3,3
PSMS004505,MS004,P008,5,1,0
PSMS004358,MS004,P006,1,2,1
PSMS004855,MS004,P011,5,2,4
PSMS004913,MS004,P043,4,1,4
PSMS004995,MS004,P001,4,1,3
PSMS004943,MS004,P005,1,3,5
PSMS00497,MS004,P022,0,2,5
PSMS004697,MS004,P008,3,2,4
PSMS004952,MS004,P007,2,1,0
PSMS00484,MS004,P030,5,3,3
PSMS0056,MS005,P022,0,3,2
PSMS005971,MS005,P047,5,1,1
PSMS005884,MS005,P004,5,2,2
PSMS005818,MS005,P004,5,0,4
PSMS005975,MS005,P039,3,0,3
PSMS005262,MS005,P012,1,3,0
PSMS00522,MS005,P014,1,3,3
PSMS005292,MS005,P042,5,1,0
PSMS005306,MS005,P032,3,2,5
PSMS005618,MS005,P009,2,0,2
PSMS005525,MS005,P013,3,3,3
PSMS005488,MS005,P018,4,3,0
PSMS005775,MS005,P028,2,1,3
PSMS005646,MS005,P028,0,0,4
PSMS005350,MS005,P030,5,1,5
PSMS005703,MS005,P046,1,3,4
PSMS005645,MS005,P042,4,0,2
PSMS005480,MS005,P028,0,3,2
PSMS005153,MS005,P009,5,2,1
PSMS005536,MS005,P028,2,0,4
PSMS006523,MS006,P028,3,0,3
PSMS006677,MS006,P047,4,2,2
PSMS006261,MS006,P038,0,0,0
PSMS006759,MS006,P043,3,1,1
PSMS006864,MS006,P026,0,0,3
PSMS006898,MS006,P046,2,2,4
PSMS006742,MS006,P030,5,3,4
PSMS006828,MS006,P017,2,1,1
PSMS006190,MS006,P006,5,2,5
PSMS006109,MS006,P028,4,0,0
PSMS006405,MS006,P008,0,1,5
PSMS007890,MS007,P043,5,3,2
PSMS007634,MS007,P040,2,3,2
PSMS00790,MS007,P009,1,0,1
PSMS007115,MS007,P002,5,1,0
PSMS007215,MS007,P031,5,1,5
PSMS007248,MS007,P028,5,1,0
PSMS007309,MS007,P050,3,1,3
PSMS007433,MS007,P002,0,1,1
PSMS007757,MS007,P045,3,3,3
PSMS00721,MS007,P029,4,1,1
PSMS007302,MS007,P037,3,0,2
PSMS0079,MS007,P007,5,3,3
PSMS007869,MS007,P032,5,2,0
PSMS007500,MS007,P026,3,3,1
PSMS007732,MS007,P004,4,0,3
PSMS007591,MS007,P021,4,0,2
PSMS008507,MS008,P040,5,2,3
PSMS008715,MS008,P028,0,1,2
PSMS008744,MS008,P013,3,2,3
PSMS008238,MS008,P033,1,2,4
PSMS008874,MS008,P046,5,3,1
PSMS008905,MS008,P019,5,3,3
PSMS008854,MS008,P044,5,2,3
PSMS008819,MS008,P011,4,1,2
PSMS008708,MS008,P048,0,3,1
PSMS008178,MS008,P013,1,3,0
PSMS008813,MS008,P027,3,2,1
PSMS009903,MS009,P017,2,1,1
PSMS009848,MS009,P033,0,0,2
PSMS009441,MS009,P008,4,1,0
PSMS009576,MS009,P015,3,2,2
PSMS009804,MS009,P023,0,2,1
PSMS009874,MS009,P045,4,0,5
PSMS00952,MS009,P029,3,0,0
PSMS009801,MS009,P040,4,0,4
PSMS00943,MS009,P033,0,1,5
PSMS009121,MS009,P014,2,1,5
PSMS009300,MS009,P046,3,3,5
PSMS009892,MS009,P007,1,2,2
PSMS009839,MS009,P009,0,1,3
PSMS009993,MS009,P027,0,1,3
PSMS009350,MS009,P019,4,1,0
PSMS010425,MS010,P024,5,1,1
PSMS010772,MS010,P049,4,3,1
PSMS010142,MS010,P028,3,3,3
PSMS010975,MS010,P034,5,2,0
PSMS010454,MS010,P010,0,0,0
PSMS010347,MS010,P021,3,1,3
PSMS01063,MS010,P026,0,1,4
PSMS01060,MS010,P041,5,2,3
PSMS010412,MS010,P044,5,2,5
PSMS010761,MS010,P021,2,0,2
PSMS010922,MS010,P034,4,1,5
PSMS010414,MS010,P029,5,1,4
PSMS010640,MS010,P040,5,3,5
PSMS010354,MS010,P042,3,1,2
PSMS01087,MS010,P003,4,2,3
PSMS010743,MS010,P047,5,1,4
PSMS010554,MS010,P019,1,0,4
